Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2012-03-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2012-04-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,0.75,1933.19,2336.25,2012-05-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,0.75,1959.3400000000001,2336.25,2012-06-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,0.75,1987.65,2336.25,2012-07-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,0.75,1997.0900000000001,2336.25,2012-08-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,0.9,2350.36,2803.5,2012-09-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,1.0,2535.32,3115.0,2012-10-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,1.0,3115.0,1.0,2535.32,3115.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,0.0,0.0,0.0,0.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,40.0,1524.7102260226025,20.0,2940.25,762.3551130113011,2011-12-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,40.0,1524.7102260226025,20.0,2940.25,762.3551130113011,2012-01-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,40.0,1524.7102260226025,20.0,2940.25,762.3551130113011,2012-02-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,80.0,3049.420452045205,30.0,4770.45,1143.5326695169517,2012-03-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,160.0,6098.84090409041,50.0,7250.785,1905.887782528253,2012-04-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,60.0,8553.17,2287.0653390339035,2012-05-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,60.0,8553.17,2287.0653390339035,2012-06-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,60.0,8553.17,2287.0653390339035,2012-07-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,80.0,11683.645,3049.4204520452045,2012-08-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,150.0,15479.394999999999,5717.663347584758,2012-09-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,240.0,25138.26999999999,9148.261356135614,2012-10-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
33,Re-spread topsoil,240.0,m3,9148.261356135614,38.11775565056506,240.0,25138.26999999999,104.74166666666666,240.0,9148.261356135614,240.0,25138.26999999999,9148.261356135614,2012-11-01,P024 - P06 Urban Road Reconstruction,2011-12-01,2012-10-01
