Portfolio WBS,Quantity,UOM,BAC,BAC Rate,Planned Quantity,Planned Value,Actual Cost,Month,predicted_DT,predicted_RF,predicted_LR,predicted_SVM
C32,4.0,m3,1236.0,309.0,4.0,1236.0,4170.3,January,5326.7,3488.49,3151.5,4170.4
CSA,50.0,tonne,19915.28,398.31,50.0,19915.28,20711.16,June,13406.07,14364.79,16592.09,13935.2
CSS,245.0,m3,0.0,0.0,200.0,0.0,1509.02,November,1153.96,6579.84,9230.4,4528.54
ETC,157.0,m,3521.49,22.43,0.0,3521.49,1720.0,February,5795.74,2201.13,618.62,2300.06
QMR,354.0,tonne,12390.0,35.0,150.0,5250.0,1222.03,November,1899.18,3349.22,1311.1,2663.39
QMS,147.81,tonne,4061.3,27.48,47.81,1313.65,1428.3,November,1153.96,1815.06,814.17,1428.2
SWC,59.48,m,39512.16,664.29,59.48,39512.16,20610.0,November,13330.1,24389.43,26555.38,20032.19
64,26280.0,m2,3.43,90032.61,4250.0,14560.07,6043.09,June,36434.42,35157.01,39678.22,33557.26
64,26280.0,m2,3.43,90032.61,4250.0,14560.07,44979.86,July,36434.42,35688.72,40316.12,33657.39
64,26280.0,m2,3.43,90032.61,4250.0,14560.07,7863.49,August,36434.42,22588.94,19362.81,25315.42
64,26280.0,m2,3.43,90032.61,4280.0,14662.85,33193.65,September,36434.42,35001.57,37737.27,33193.55
64,26280.0,m2,3.43,90032.61,5000.0,17129.49,47754.05,October,70121.96,42446.38,42797.29,48833.07
68,26280.0,m2,16.7,438808.96,4250.0,70964.16,38385.07,June,34485.97,36824.96,37942.71,35389.08
68,26280.0,m2,16.7,438808.96,4250.0,70964.16,33354.94,July,34485.97,34056.06,33351.16,33355.04
68,26280.0,m2,16.7,438808.96,4250.0,70964.16,33688.74,August,34485.97,34542.14,33923.12,33797.63
68,26280.0,m2,16.7,438808.96,4280.0,71465.08,55754.72,September,34485.97,35290.56,33771.02,34141.66
68,26280.0,m2,16.7,438808.96,5000.0,83487.24,39976.48,October,34485.97,34908.07,33123.0,34375.49
191,27.5,days,1623.64,44650.0,4.0,6494.55,1516.16,June,5324.28,8253.12,7131.71,6799.77
191,27.5,days,1623.64,44650.0,4.0,6494.55,19057.64,July,22309.49,18724.72,19587.47,18638.68
191,27.5,days,1623.64,44650.0,4.0,6494.55,34973.98,August,22309.49,25004.41,29338.77,22827.4
191,27.5,days,1623.64,44650.0,4.0,6494.55,6482.46,September,5324.28,8166.9,5320.73,6482.57
191,27.5,days,1623.64,44650.0,4.0,6494.55,23420.91,October,5324.28,8237.7,6980.68,6861.26
191,27.5,days,1623.64,44650.0,3.5,5682.73,1418.76,November,5324.28,5553.61,2071.07,5066.91
902,53.0,days,792.87,42021.91,8.0,6342.93,11879.75,June,5324.28,12380.08,13966.92,9917.88
902,53.0,days,792.87,42021.91,8.0,6342.93,24638.2,July,22309.49,20514.55,22719.75,20245.61
902,53.0,days,792.87,42021.91,8.0,6342.93,10568.15,August,22309.49,12860.1,10393.97,15424.56
902,53.0,days,792.87,42021.91,8.0,6342.93,19851.4,September,5324.28,11332.76,10633.18,8979.23
902,53.0,days,792.87,42021.91,8.0,6342.93,11946.5,October,5324.28,11931.36,13129.35,9699.2
911,580.0,nights,103.88,60252.61,83.0,8622.36,13029.17,June,9322.64,14552.62,16595.03,11704.12
911,580.0,nights,103.88,60252.61,83.0,8622.36,26371.73,July,8981.05,21908.42,28123.98,16109.86
911,580.0,nights,103.88,60252.61,83.0,8622.36,2490.98,August,8981.05,8522.7,6717.64,7583.0
911,580.0,nights,103.88,60252.61,83.0,8622.36,9429.53,September,9322.64,12229.51,11239.96,9940.56
911,580.0,nights,103.88,60252.61,83.0,8622.36,6967.36,October,9322.64,12509.48,13231.29,10454.5
CSA,335.0,tonne,353.81,118527.57,54.18,19168.27,27370.0,June,29799.52,24720.91,27709.42,25719.54
CSA,335.0,tonne,353.81,118527.57,54.18,19168.27,26860.0,July,29799.52,25217.34,28291.4,25796.85
CSA,335.0,tonne,353.81,118527.57,54.56,19303.58,27650.0,September,29799.52,19768.61,18172.96,22258.59
CSA,335.0,tonne,353.81,118527.57,63.74,22550.91,13430.0,October,29799.52,17335.96,15489.17,21082.08
QM2.3,178.0,tonne,30.2,5375.0,25.0,754.92,1033.29,June,1153.96,1318.35,-457.48,1033.19
QM2.3,178.0,tonne,30.2,5375.0,25.0,754.92,2130.44,July,958.97,1917.82,332.88,1116.15
QM2.3,178.0,tonne,30.2,5375.0,25.0,754.92,236.28,August,1824.94,2688.43,1155.26,2013.52
QM2.3,178.0,tonne,30.2,5375.0,25.0,754.92,438.45,October,1153.96,1566.84,-190.4,1265.32
QMR,1290.0,tonne,5.19,6700.0,210.09,1091.17,6462.59,September,12590.7,8882.52,7412.17,9233.2
QMR,1290.0,tonne,5.19,6700.0,245.43,1274.73,19576.23,October,12590.7,13126.61,15653.09,12309.5
11,124.0,hrs,22940.0,185.0,12.0,2220.0,6949.1,October,3058.72,5781.39,7514.86,4944.88
11,124.0,hrs,22940.0,185.0,32.0,5920.0,4495.9,November,4719.61,5437.2,5401.81,5270.17
11,124.0,hrs,22940.0,185.0,12.0,2220.0,1427.52,December,3058.72,1792.31,1206.78,2065.11
11,124.0,hrs,22940.0,185.0,12.0,2220.0,2117.85,February,3058.72,2222.76,1865.57,2540.21
11,124.0,hrs,22940.0,185.0,8.0,1480.0,3560.15,March,2954.94,3191.99,3883.65,2892.45
11,124.0,hrs,22940.0,185.0,20.0,3700.0,1072.4,April,3058.72,1686.03,-292.8,2286.96
13,1.0,item,33460.0,33460.0,0.1,3346.0,1600.0,October,1393.55,2977.37,3509.82,2334.29
13,1.0,item,33460.0,33460.0,0.2,6692.0,1169.54,November,4719.61,6239.99,6772.43,5507.94
13,1.0,item,33460.0,33460.0,0.1,3346.0,1381.9,January,1393.55,1108.27,285.34,873.5
13,1.0,item,33460.0,33460.0,0.1,3346.0,1576.9,March,1393.55,1943.67,2232.9,1334.46
22,1.0,item,20750.0,20750.0,0.5,10375.0,3641.75,October,4719.61,4245.67,4642.55,4195.02
22,1.0,item,20750.0,20750.0,0.5,10375.0,10291.83,November,4719.61,7653.01,9290.31,6355.47
